topology,benchmark,num_agents,observable,n,mean,xmax,gini,p90
full_mesh,SWE-bench,128,contradiction_burst,6,1.0,1.0,0.0,1.0
full_mesh,SWE-bench,128,merge_fanin,495,127.0303,128.0,0.0002,127.0
full_mesh,SWE-bench,128,influence_per_agent,33,30.0,30.0,0.0,30.0
full_mesh,SWE-bench,16,contradiction_burst,4,1.0,1.0,0.0,1.0
full_mesh,SWE-bench,16,merge_fanin,315,15.0476,16.0,0.003,15.0
full_mesh,SWE-bench,16,influence_per_agent,14,45.0,90.0,0.2075,60.0
full_mesh,SWE-bench,32,contradiction_burst,5,1.0,1.0,0.0,1.0
full_mesh,SWE-bench,32,merge_fanin,375,31.04,32.0,0.0012,31.0
full_mesh,SWE-bench,32,influence_per_agent,19,39.4737,60.0,0.1642,60.0
full_mesh,SWE-bench,64,contradiction_burst,3,1.0,1.0,0.0,1.0
full_mesh,SWE-bench,64,merge_fanin,435,63.0345,64.0,0.0005,63.0
full_mesh,SWE-bench,64,influence_per_agent,27,32.2222,60.0,0.0639,30.0
full_mesh,SWE-bench,8,contradiction_burst,1,1.0,1.0,0.0,1.0
full_mesh,SWE-bench,8,merge_fanin,255,7.0588,8.0,0.0078,7.0
full_mesh,SWE-bench,8,influence_per_agent,8,63.75,90.0,0.0515,69.0
hybrid_modular,SWE-bench,128,revision_wave,30,1.0,1.0,0.0,1.0
hybrid_modular,SWE-bench,128,merge_fanin,1905,32.7559,64.0,0.3228,58.0
hybrid_modular,SWE-bench,128,influence_per_agent,127,30.2362,60.0,0.0078,30.0
hybrid_modular,SWE-bench,16,revision_wave,30,1.0,1.0,0.0,1.0
hybrid_modular,SWE-bench,16,merge_fanin,225,4.8,8.0,0.2463,8.0
hybrid_modular,SWE-bench,16,influence_per_agent,15,32.0,60.0,0.0583,30.0
hybrid_modular,SWE-bench,32,revision_wave,30,1.0,1.0,0.0,1.0
hybrid_modular,SWE-bench,32,merge_fanin,465,8.7742,16.0,0.2906,15.0
hybrid_modular,SWE-bench,32,influence_per_agent,31,30.9677,60.0,0.0302,30.0
hybrid_modular,SWE-bench,64,revision_wave,30,1.0,1.0,0.0,1.0
hybrid_modular,SWE-bench,64,merge_fanin,945,16.7619,32.0,0.3122,29.0
hybrid_modular,SWE-bench,64,influence_per_agent,63,30.4762,60.0,0.0154,30.0
