run_id,benchmark,topology,num_agents,num_events,num_claim_nodes,num_claim_edges,num_agent_edges,num_root_claims,num_final_claims,num_placeholder_claims,max_out_degree,max_in_degree,max_claim_depth,mean_claim_depth
GAIA__dynamic_reputation__n128__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,128,184,184,141,138,128,1,0,5,32,5,0.761
GAIA__dynamic_reputation__n128__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,128,185,185,144,142,128,1,0,5,32,5,0.789
GAIA__dynamic_reputation__n128__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,128,185,185,144,142,128,1,0,5,32,5,0.789
GAIA__dynamic_reputation__n128__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,128,185,185,144,142,128,1,0,5,32,5,0.789
GAIA__dynamic_reputation__n128__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,128,185,185,144,142,128,1,0,5,32,5,0.789
GAIA__dynamic_reputation__n128__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,128,185,185,144,142,128,1,0,5,32,5,0.789
GAIA__dynamic_reputation__n128__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,128,190,190,152,151,128,1,0,9,32,5,0.837
GAIA__dynamic_reputation__n128__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,128,190,190,152,151,128,1,0,9,32,5,0.837
GAIA__dynamic_reputation__n128__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,128,190,190,152,151,128,1,0,9,32,5,0.837
GAIA__dynamic_reputation__n128__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,128,190,190,152,151,128,1,0,9,32,5,0.837
GAIA__dynamic_reputation__n128__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,128,190,190,152,151,128,1,0,9,32,5,0.837
GAIA__dynamic_reputation__n16__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,16,44,44,55,46,16,1,0,8,4,5,1.705
GAIA__dynamic_reputation__n16__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,16,44,44,55,46,16,1,0,8,4,5,1.705
GAIA__dynamic_reputation__n16__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,16,44,44,55,46,16,1,0,8,4,5,1.705
GAIA__dynamic_reputation__n16__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,16,44,44,55,46,16,1,0,8,4,5,1.705
GAIA__dynamic_reputation__n16__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,16,44,44,55,46,16,1,0,8,4,5,1.705
GAIA__dynamic_reputation__n16__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,16,43,43,54,41,16,1,0,10,4,5,1.651
GAIA__dynamic_reputation__n16__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,16,43,43,54,41,16,1,0,10,4,5,1.651
GAIA__dynamic_reputation__n16__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,16,43,43,54,41,16,1,0,10,4,5,1.651
GAIA__dynamic_reputation__n16__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,16,43,43,54,41,16,1,0,10,4,5,1.651
GAIA__dynamic_reputation__n16__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,16,43,43,54,41,16,1,0,10,4,5,1.651
GAIA__dynamic_reputation__n16__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,16,43,43,53,40,16,1,0,5,4,5,1.628
GAIA__dynamic_reputation__n16__s2__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,16,43,43,53,40,16,1,0,5,4,5,1.628
GAIA__dynamic_reputation__n16__s2__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,16,43,43,53,40,16,1,0,5,4,5,1.628
GAIA__dynamic_reputation__n16__s2__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,16,43,43,53,40,16,1,0,5,4,5,1.628
GAIA__dynamic_reputation__n16__s2__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,16,43,43,53,40,16,1,0,5,4,5,1.628
GAIA__dynamic_reputation__n32__s0__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,32,70,70,77,66,32,1,0,5,8,5,1.343
GAIA__dynamic_reputation__n32__s0__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,32,70,70,77,66,32,1,0,5,8,5,1.343
GAIA__dynamic_reputation__n32__s0__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,32,70,70,77,66,32,1,0,5,8,5,1.343
GAIA__dynamic_reputation__n32__s0__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,32,70,70,77,66,32,1,0,5,8,5,1.343
GAIA__dynamic_reputation__n32__s0__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,32,70,70,77,66,32,1,0,5,8,5,1.343
GAIA__dynamic_reputation__n32__s1__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,32,72,72,83,76,32,1,0,6,8,5,1.444
GAIA__dynamic_reputation__n32__s1__5188369a-3bbe-43d8-8b94-11558f909a08,GAIA,dynamic_reputation,32,72,72,83,76,32,1,0,6,8,5,1.444
GAIA__dynamic_reputation__n32__s1__676e5e31-a554-4acc-9286-b60d90a92d26,GAIA,dynamic_reputation,32,72,72,83,76,32,1,0,6,8,5,1.444
GAIA__dynamic_reputation__n32__s1__bec74516-02fc-48dc-b202-55e78d0e17cf,GAIA,dynamic_reputation,32,72,72,83,76,32,1,0,6,8,5,1.444
GAIA__dynamic_reputation__n32__s1__e8cb5b03-41e0-4086-99e5-f6806cd97211,GAIA,dynamic_reputation,32,72,72,83,76,32,1,0,6,8,5,1.444
GAIA__dynamic_reputation__n32__s2__04a04a9b-226c-43fd-b319-d5e89743676f,GAIA,dynamic_reputation,32,70,70,82,77,32,1,0,6,8,5,1.457
